id,nom,groupe,subject_group_id,teaching_type_id
487,"Travail manuel","Groupe 3",,3
488,"Dessin de Mode","Groupe 2",,3
489,EPS,"Groupe 1",,3
492,Anglais,"Groupe 1",,3
493,ECM,"Groupe 1",,3
494,Informatique,"Groupe 1",,3
495,Législation,"Groupe 1",,3
496,Français,"Groupe 1",,3
497,MATHEMATIQUES,"Groupe 2",,3
509,"Matière Inactive 6a65595b9953a","Groupe 1",,1
511,"Matière Inactive 6a655981c60fe","Groupe 1",,1
531,TEST_AUTO_20260826_054246,"Groupe 1",,
