subject_id,nom,groupe,matched_group_id,matched_group_libelle,match_type
391,BIOLOGY,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
392,CHEMISTRY,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
393,MATHEMATICS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
394,PHYSICS,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
395,"C.S. (General Science)","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
396,"F/N/H/BIO (combinée)","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
397,"A.M.A / LOGIC / PHIL  (selon options)","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
398,"ELECTRICAL TECHNOLOGIE AND DIASRAM","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
399,"ELECTRICAL TEST AND MEASUREMENT","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
400,"ELCTRICAL MACHINE","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
401,"ELECTRICAL AND ELECTRONIQUE CIRCUITS","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
407,Mathematique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
408,Mathematique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
409,Informatique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
411,"Sciences physique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
414,Materiaux,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
415,Dessin,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
416,Dessin,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
418,Informatique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
420,"Science physique","Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
421,MATHEMATIQUES,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
431,PCT,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
432,Informatique,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
433,Mathematque,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
434,SVTEEHB,"Groupe 2",2,"Groupe 2 - Matières Scientifiques",like
